"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Checking link from footer to contact page","Проверка отображения заголовков нижнего меню","0","10","5","0","0"
"","Checking link from footer to info page","Проверка отображения заголовков нижнего меню","0","10","5","0","0"
"","Checking if the button 'soups' is clickable","Проверка кнопки soups","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки soups","0","2","0","0","0"
"","Сhecking the possibility of entering a name","Проверка ввода имени","0","4","0","0","0"
"","Cart functionality checking","Проверка ввода имени","0","2","0","0","0"
"","Сhecking the possibility of choosing a province","Проверка выбора провинций","0","2","0","0","0"
"","Cart functionality checking","Проверка выбора провинций","0","2","0","0","0"
"","Сhecking the display of text in block 2","Проверка отображения текста в блоке 2","0","2","0","0","0"
"","About us functionality checking","Проверка отображения текста в блоке 2","0","2","0","0","0"
"","Checking link from footer to menu page","Проверка отображения заголовков нижнего меню","0","10","5","0","0"
"","Our menu functionality checking","Проверка кнопки burritos","0","2","0","0","0"
"","Checking if the button 'burritos' is clickable","Проверка кнопки burritos","0","2","0","0","0"
"","Checking link from footer to home page","Проверка отображения заголовков нижнего меню","0","10","5","0","0"
"","Checking footer titles visibility","Проверка отображения заголовков нижнего меню","0","10","5","0","0"
"","Checking link from footer to products page","Проверка отображения заголовков нижнего меню","0","10","5","0","0"
"","About us functionality checking","Проверка отображения текста в блоке 1","0","2","0","0","0"
"","Сhecking the display of text in block 1","Проверка отображения текста в блоке 1","0","2","0","0","0"
"","Navigation menu functionality checking","Переход на страницу 'о нас' с помощью навигационного меню","0","2","1","0","0"
"","Move to about page throw navigation menu","Переход на страницу 'о нас' с помощью навигационного меню","0","2","1","0","0"
"","Checking if the button 'bakery' is clickable","Проверка кнопки bakery","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки bakery","0","2","0","0","0"
"","About us functionality checking","Проверка отображения текста в блоке 5","0","2","0","0","0"
"","Сhecking the display of text in block 5","Проверка отображения текста в блоке 5","0","2","0","0","0"
"","Cart functionality checking","Проверка пустых полей","0","2","0","0","0"
"","Сhecking for empty fields","Проверка пустых полей","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки all","0","2","0","0","0"
"","Checking if the button 'all' is clickable","Проверка кнопки all","0","2","0","0","0"
"","Сhecking the possibility of entering a city","Проверка ввода города","0","2","0","0","0"
"","Cart functionality checking","Проверка ввода города","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки breakfast sandwiches","0","2","0","0","0"
"","Checking if the button 'breakfast sandwiches' is clickable","Проверка кнопки breakfast sandwiches","0","2","0","0","0"
"","About us functionality checking","Проверка отображения текста в блоке 4","0","2","0","0","0"
"","Сhecking the display of text in block 4","Проверка отображения текста в блоке 4","0","2","0","0","0"
"","Cart functionality checking","Проверка ввода номера","0","2","0","0","0"
"","Сhecking the possibility of entering a phone number","Проверка ввода номера","0","2","0","0","0"
"","Сhecking the possibility of entering a street address 2","Проверка ввода адреса 2","0","2","0","0","0"
"","Cart functionality checking","Проверка ввода адреса 2","0","2","0","0","0"
"","Check prices in cart","Проверка подсчета стоимости товаров в корзине","0","2","0","0","0"
"","Cart functionality checking","Проверка подсчета стоимости товаров в корзине","0","2","0","0","0"
"","Check the visibility of navigation menu","Проверка видимости каждой кнопки навигационного меню","0","2","1","0","0"
"","Navigation menu functionality checking","Проверка видимости каждой кнопки навигационного меню","0","2","1","0","0"
"","Our menu functionality checking","Проверка кнопки smoothies","0","2","0","0","0"
"","Checking if the button 'smoothies' is clickable","Проверка кнопки smoothies","0","2","0","0","0"
"","Сhecking the possibility of entering an email","Проверка ввода почтового адреса","0","4","0","0","0"
"","Contact us functionality checking","Проверка ввода почтового адреса","0","2","0","0","0"
"","Move to cart page throw navigation menu","Переход на страницу 'корзина' с помощью навигационного меню","0","3","0","0","0"
"","Navigation menu functionality checking","Переход на страницу 'корзина' с помощью навигационного меню","0","3","0","0","0"
"","Check goods adding to the cart","Проверка функции добавления товаров в корзину","0","3","0","0","0"
"","Cart functionality checking","Проверка функции добавления товаров в корзину","0","3","0","0","0"
"","Сhecking the ability to go to the next page","Проверка перехода на страницу вперед","0","2","0","0","0"
"","Cart functionality checking","Проверка перехода на страницу вперед","0","2","0","0","0"
"","Сhecking the display of text in block 3","Проверка отображения текста в блоке 3","0","2","0","0","0"
"","About us functionality checking","Проверка отображения текста в блоке 3","0","2","0","0","0"
"","Сhecking the possibility of entering a company name","Проверка ввода названия компании","0","2","0","0","0"
"","Cart functionality checking","Проверка ввода названия компании","0","2","0","0","0"
"","Cart functionality checking","Проверка ввода почтового адреса","0","2","0","0","0"
"","Checking titles visibility","Проверка отображения заголовков отделов главной страницы","0","2","1","0","0"
"","Move to menu page throw navigation menu","Переход на страницу 'меню' с помощью навигационного меню","0","2","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'меню' с помощью навигационного меню","0","2","1","0","0"
"","Cart functionality checking","Проверка выбора страны","0","2","0","0","0"
"","Сhecking the possibility of choosing a country","Проверка выбора страны","0","2","0","0","0"
"","Contact us functionality checking","Проверка ввода имени","0","2","0","0","0"
"","Checking if the button 'acai bowls' is clickable","Проверка кнопки acai bowls","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки acai bowls","0","2","0","0","0"
"","Navigation menu functionality checking","Переход на страницу 'продукты' с помощью навигационного меню","0","2","1","0","0"
"","Move to products page throw navigation menu","Переход на страницу 'продукты' с помощью навигационного меню","0","2","1","0","0"
"","Сhecking the possibility of entering a street address","Проверка ввода адреса 1","0","2","0","0","0"
"","Cart functionality checking","Проверка ввода адреса 1","0","2","0","0","0"
"","Move to contact us page throw navigation menu","Переход на страницу 'контакты' с помощью навигационного меню","0","2","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'контакты' с помощью навигационного меню","0","2","1","0","0"
"","Сhecking the possibility of entering a zip","Проверка ввода индекса","0","2","0","0","0"
"","Cart functionality checking","Проверка ввода индекса","0","2","0","0","0"
"","Move to home page throw navigation menu","Переход на домашнюю страницу с помощью навигационного меню","0","2","1","0","0"
"","Navigation menu functionality checking","Переход на домашнюю страницу с помощью навигационного меню","0","2","1","0","0"
"","Сhecking the removal of an item from the cart","Проверка удаления товара из корзины","0","2","0","0","0"
"","Cart functionality checking","Проверка удаления товара из корзины","0","2","0","0","0"
"","Checking if the button 'salads' is clickable","Проверка кнопки salads","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки salads","0","2","0","0","0"
"","Checking if the button 'tea' is clickable","Проверка кнопки tea","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки tea","0","2","0","0","0"
"","Сheck a privacy display","Проверка наличия надписи о шифровании данных при оплате","0","2","0","0","0"
"","Cart functionality checking","Проверка наличия надписи о шифровании данных при оплате","0","2","0","0","0"
"","Checking if the button 'bagels' is clickable","Проверка кнопки bagels","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки bagels","0","2","0","0","0"
"","Checking if the button 'coffee' is clickable","Проверка кнопки coffee","0","2","0","0","0"
"","Our menu functionality checking","Проверка кнопки coffee","0","2","0","0","0"
"","Cart functionality checking","Проверка перехода на предыдущую страницу","0","2","0","0","0"
"","Сhecking the ability to go to the previous page","Проверка перехода на предыдущую страницу","0","2","0","0","0"
"","Сhecking the possibility of entering an description","Проверка ввода сообщения","0","2","0","0","0"
"","Contact us functionality checking","Проверка ввода сообщения","0","2","0","0","0"
