"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 17 21:12:34 GMT 2023","Mon Jul 17 21:12:36 GMT 2023","1896","tests","test_contact_us_page","","","","test_check_description_contact_us[setup_browser_chrome]",""
"broken","Mon Jul 17 21:12:24 GMT 2023","Mon Jul 17 21:12:33 GMT 2023","9272","tests","test_footer_functionality","","","","test_footer_visibility[setup_browser_firefox-https://impresso-expresso.netlify.app/]",""
"broken","Mon Jul 17 21:14:40 GMT 2023","Mon Jul 17 21:14:43 GMT 2023","2654","tests","test_our_menu_page","","","","test_check_smoothies_button[setup_browser_chrome]",""
"broken","Mon Jul 17 21:11:57 GMT 2023","Mon Jul 17 21:12:06 GMT 2023","9445","tests","test_about_us_page","","","","test_check_block_3[setup_browser_firefox]",""
"broken","Mon Jul 17 21:13:08 GMT 2023","Mon Jul 17 21:13:18 GMT 2023","10367","tests","test_footer_functionality","","","","test_footer_link_to_menu[setup_browser_firefox-https://impresso-expresso.netlify.app/products]",""
"broken","Mon Jul 17 21:11:26 GMT 2023","Mon Jul 17 21:11:35 GMT 2023","8873","tests","test_about_us_page","","","","test_check_block_1[setup_browser_firefox]",""
"broken","Mon Jul 17 21:12:44 GMT 2023","Mon Jul 17 21:12:51 GMT 2023","7061","tests","test_cart_functionality","","","","test_check_email[setup_browser_firefox]",""
"broken","Mon Jul 17 21:12:35 GMT 2023","Mon Jul 17 21:12:40 GMT 2023","4209","tests","test_footer_functionality","","","","test_footer_link_to_menu[setup_browser_chrome-https://impresso-expresso.netlify.app/about]",""
"broken","Mon Jul 17 21:12:59 GMT 2023","Mon Jul 17 21:13:09 GMT 2023","10000","tests","test_footer_functionality","","","","test_footer_link_to_home[setup_browser_firefox-https://impresso-expresso.netlify.app/about]",""
"broken","Mon Jul 17 21:11:24 GMT 2023","Mon Jul 17 21:11:32 GMT 2023","7811","tests","test_cart_functionality","","","","test_previous_step[setup_browser_firefox]",""
"broken","Mon Jul 17 21:12:23 GMT 2023","Mon Jul 17 21:12:30 GMT 2023","7019","tests","test_contact_us_page","","","","test_check_email_contact_us[setup_browser_firefox]",""
